Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
Vanilla,344.9 g,175.8 g,128.6,3.0,227.5,197.8 °C,35.5,11.6,20.9,6.8,Gas,Fondant,Mixed,279.4,71.1 %,7.8,9,4.6,2024-07-07,Good
Red Velvet,291.8 g,193.4 g,157.9,3.0,187.8,193.5 °C,26.7,7.6,19.6,12.0,Electric,Ganache,Local,326.9,77.0 %,7.7,11,4.7,2025-09-09,Good
Vanilla,214.7 g,202.7 g,120.4,1.0,174.2,196.9 °C,30.5,12.7,16.6,16.1,Electric,Buttercream,Imported,336.4,49.1 %,8.6,6,5.0,2023-03-03,Good
Vanilla,287.2 g,,170.7,3.0,281.7,211.4 °C,39.1,7.8,14.2,7.0,Electric,Fondant,Local,281.6,52.0 %,5.6,8,3.8,2023-09-14,Average
Chocolate,237.8 g,206.1 g,124.2,3.0,133.4,186.5 °C,31.9,10.6,12.1,7.8,Electric,Whipped Cream,Mixed,255.8,56.7 %,10.0,2,3.5,2023-10-14,Excellent
Strawberry,249.3 g,188.0 g,149.6,3.0,152.1,194.7 °C,35.0,12.5,18.6,1.7,Gas,Buttercream,Local,227.5,59.0 %,7.1,9,2.1,2023-01-05,Good
Red Velvet,253.3 g,,135.3,,168.9,194.7 °C,24.7,9.9,17.7,5.5,Gas,Fondant,Imported,273.6,55.2 %,8.8,4,4.0,2023-03-28,Good
Chocolate,257.4 g,193.3 g,130.1,2.0,217.3,172.5 °C,27.1,8.4,,0.0,Electric,Buttercream,Local,426.7,52.0 %,6.1,8,4.3,2025-07-13,Average
,239.5 g,166.0 g,,2.0,163.4,173.8 °C,30.6,10.0,21.4,6.6,Gas,Ganache,Local,323.5,55.0 %,8.2,3,4.7,2023-06-17,Good
Chocolate Truffle,285.1 g,228.8 g,154.3,4.0,214.0,178.6 °C,43.9,12.2,14.8,10.6,Electric,Ganache,Local,252.7,67.6 %,8.7,2,4.4,2024-05-03,Good
Chocolate,238.7 g,256.7 g,137.1,3.8,135.5,195.0 °C,36.8,11.2,8.1,3.4,Electric,Fondant,Imported,305.3,49.9 %,7.9,7,4.2,2025-06-15,Good
Chocolate,290.8 g,192.0 g,185.3,3.0,221.9,206.7 °C,29.0,8.7,20.2,14.2,Electric,Buttercream,Mixed,409.2,54.9 %,5.8,4,3.8,2024-11-16,Average
Red Velvet,386.6 g,180.0 g,160.6,3.0,210.9,189.2 °C,32.2,8.8,10.4,8.3,Convection,Whipped Cream,Imported,261.8,48.2 %,8.0,2,3.7,2025-04-25,Good
Butterscotch,240.5 g,235.4 g,125.4,1.0,149.0,177.1 °C,46.2,9.9,16.0,9.7,Gas,Ganache,Local,277.1,50.4 %,9.4,10,3.0,2024-05-18,Excellent
Chocolate,268.6 g,249.4 g,110.5,1.0,177.2,215.1 °C,40.7,12.6,22.3,15.4,Electric,Fondant,Local,260.5,54.3 %,8.9,8,3.4,2024-08-16,Good
Black Forest,217.6 g,192.2 g,140.3,,170.1,202.9 °C,27.0,11.1,,11.7,Electric,Fondant,Local,284.4,56.3 %,7.2,4,2.6,2024-12-30,Good
White Forest,268.1 g,191.2 g,172.6,4.0,193.6,194.8 °C,36.2,9.4,15.8,8.1,Gas,Ganache,,238.5,46.0 %,7.0,6,4.1,2023-01-06,Good
Chocolate,302.1 g,193.9 g,151.1,2.0,222.5,202.3 °C,36.1,9.0,11.5,8.2,Gas,Whipped Cream,Local,283.7,53.9 %,7.0,9,4.5,2025-01-14,Good
White Forest,305.4 g,170.0 g,179.1,4.0,158.6,183.6 °C,41.1,6.0,21.6,4.9,Electric,Whipped Cream,Mixed,347.3,47.3 %,7.8,10,3.5,2024-09-01,Good
Vanilla,280.6 g,189.9 g,128.3,3.0,190.7,216.9 °C,25.8,16.8,18.1,11.5,Gas,Fondant,Local,257.3,66.2 %,4.9,8,4.6,2025-05-07,Poor
Black Forest,312.7 g,242.8 g,136.1,4.0,186.4,203.5 °C,31.3,9.1,14.6,0.2,Electric,Ganache,Local,200.7,52.4 %,6.0,6,4.4,2023-07-26,Average
Black Forest,408.2 g,192.2 g,136.5,4.0,182.3,196.0 °C,43.2,8.0,,6.5,Convection,Buttercream,Local,436.8,62.4 %,10.0,5,3.2,2024-09-19,Excellent
Strawberry,354.3 g,177.9 g,142.9,4.0,236.4,193.1 °C,41.2,14.0,15.5,5.0,Gas,Ganache,Imported,430.7,55.5 %,7.1,9,5.0,2024-12-27,Good
Chocolate,261.4 g,206.4 g,155.0,3.0,183.5,199.4 °C,30.3,8.7,17.7,6.9,Electric,Fondant,Imported,624.5,54.7 %,5.7,5,3.8,2024-02-13,Average
Pineapple,237.8 g,183.5 g,181.1,4.0,145.9,206.4 °C,38.7,10.9,16.5,7.1,Electric,Buttercream,Imported,278.5,55.2 %,8.8,4,3.8,2024-12-01,Good
Vanilla,264.9 g,194.1 g,189.0,3.0,204.6,175.9 °C,31.4,9.6,,7.9,Electric,Ganache,Mixed,371.1,54.7 %,10.0,3,4.1,2024-06-06,Excellent
Chocolate,249.8 g,174.8 g,182.4,2.0,243.7,187.0 °C,38.1,9.2,17.9,3.2,Gas,Ganache,Mixed,231.7,46.2 %,9.1,10,5.0,2025-10-18,Excellent
Chocolate,294.4 g,178.0 g,152.5,2.0,182.8,193.2 °C,41.3,11.5,17.4,13.5,Electric,Buttercream,Local,449.9,46.2 %,8.0,11,4.2,2025-08-16,Good
Strawberry,244.0 g,212.4 g,132.3,2.5,231.4,192.7 °C,29.3,11.2,18.2,3.1,Electric,Ganache,Imported,295.3,59.6 %,5.2,11,3.8,2025-02-01,Average
Black Forest,275.5 g,197.8 g,142.6,4.0,165.7,187.9 °C,32.1,7.1,16.1,13.9,Electric,Buttercream,Imported,276.8,53.4 %,8.4,8,4.4,2025-10-20,Good
Chocolate,310.4 g,181.8 g,152.2,2.0,192.3,211.9 °C,35.8,9.3,16.8,2.8,Gas,Buttercream,Mixed,539.4,53.4 %,7.0,1,3.9,2023-05-07,Good
Red Velvet,274.5 g,197.9 g,140.8,2.0,138.6,188.2 °C,31.1,12.0,13.9,0.0,Electric,Whipped Cream,Imported,223.6,47.0 %,7.1,3,3.9,2024-01-15,Good
Chocolate,249.8 g,184.5 g,124.0,2.0,160.5,183.4 °C,30.1,11.5,19.5,22.4,Gas,Whipped Cream,Local,292.8,46.8 %,5.6,2,4.2,2024-01-15,Average
Black Forest,326.0 g,181.7 g,130.4,2.0,183.8,191.3 °C,37.9,9.5,9.2,14.4,Electric,Buttercream,Local,209.8,62.3 %,6.2,3,5.0,2023-12-18,Average
Chocolate,228.9 g,224.4 g,157.6,5.0,201.9,227.3 °C,,7.2,14.7,7.4,Gas,Fondant,Local,357.6,50.8 %,8.5,6,4.0,2024-12-21,Good
Black Forest,267.3 g,213.6 g,133.8,3.0,193.1,198.5 °C,30.4,13.9,11.7,19.0,Electric,Whipped Cream,Imported,231.5,48.2 %,8.1,11,4.7,2024-03-21,Good
Vanilla,276.5 g,,138.7,2.0,228.0,191.1 °C,29.0,12.2,16.3,8.4,Gas,Fondant,Local,191.3,61.9 %,8.1,9,4.5,,Good
Chocolate Truffle,278.5 g,198.4 g,136.8,2.0,139.3,193.3 °C,28.3,17.8,18.9,15.8,Convection,Whipped Cream,Local,300.9,49.7 %,6.5,1,4.0,2024-12-23,Average
,284.3 g,195.3 g,124.2,4.0,237.1,175.8 °C,34.3,10.2,11.1,10.2,Electric,Fondant,Local,581.2,55.0 %,7.3,4,5.0,2023-03-20,Good
,300.8 g,206.2 g,135.1,2.5,157.8,195.4 °C,45.8,11.8,17.9,0.8,Gas,Buttercream,Imported,362.4,52.1 %,7.4,7,3.2,2025-06-18,Good
Chocolate,276.7 g,181.4 g,130.4,2.0,145.6,202.1 °C,31.8,10.9,15.5,10.7,Gas,Ganache,Local,356.7,57.3 %,6.4,6,4.6,2024-03-13,Average
Chocolate Truffle,266.0 g,,127.0,3.0,217.0,205.6 °C,45.6,5.6,10.1,4.7,Electric,Buttercream,Mixed,276.2,64.8 %,8.9,1,3.4,2024-07-26,Good
Chocolate Truffle,264.8 g,203.0 g,122.1,2.5,148.2,195.8 °C,31.1,10.9,17.3,9.7,Electric,Fondant,Imported,293.4,59.4 %,7.4,4,2.9,2024-05-03,Good
Vanilla,258.9 g,190.4 g,136.4,,234.3,187.5 °C,24.5,4.5,19.2,14.7,Electric,Buttercream,Imported,320.8,47.4 %,7.4,2,4.6,2023-03-03,Good
Black Forest,308.2 g,186.4 g,151.3,3.0,127.3,214.4 °C,48.7,7.6,14.2,6.1,Electric,Buttercream,Imported,191.7,49.8 %,6.5,4,3.6,2024-01-07,Average
Pineapple,257.9 g,215.2 g,164.6,3.0,156.8,192.6 °C,33.9,10.9,15.5,14.4,Convection,Buttercream,Imported,367.0,51.9 %,8.8,7,2.7,2023-12-17,Good
,310.8 g,192.5 g,118.3,1.0,210.2,184.5 °C,42.6,9.9,13.5,12.8,Gas,Ganache,Mixed,342.0,64.3 %,6.3,6,5.0,2025-09-28,Average
Red Velvet,278.6 g,,180.2,2.0,202.0,187.2 °C,41.6,3.0,5.0,9.2,Electric,Fondant,Imported,259.6,52.6 %,7.1,3,3.4,2024-11-11,Good
Chocolate,261.5 g,188.2 g,144.0,3.0,120.3,193.2 °C,40.2,10.6,14.6,0.5,Electric,Buttercream,Local,281.7,55.7 %,7.7,9,4.2,2024-03-05,Good
Chocolate,301.1 g,213.2 g,121.3,2.5,159.1,193.8 °C,33.2,6.6,14.2,2.7,Electric,Fondant,Local,435.8,46.5 %,5.6,7,3.2,2025-05-25,Average
Chocolate Truffle,255.6 g,170.7 g,131.3,3.0,135.6,190.3 °C,38.4,12.0,12.3,15.9,Electric,Whipped Cream,Local,173.4,46.8 %,6.8,11,5.0,2024-09-01,Average
Chocolate Truffle,301.9 g,188.7 g,113.6,2.0,182.8,203.4 °C,33.1,9.7,7.5,4.4,Convection,Ganache,Mixed,244.1,54.1 %,8.3,2,3.9,2025-03-21,Good
Black Forest,285.4 g,221.6 g,116.0,3.0,179.9,196.9 °C,23.9,13.6,13.7,6.8,Gas,Buttercream,Imported,278.9,48.5 %,9.7,6,5.0,2024-03-08,Excellent
Vanilla,259.3 g,192.2 g,184.4,3.0,170.7,213.9 °C,32.1,5.2,12.3,14.1,Gas,Ganache,Local,351.8,49.1 %,10.0,5,5.0,2023-08-16,Excellent
Vanilla,297.5 g,201.2 g,126.9,2.0,174.9,199.5 °C,41.4,4.5,17.5,10.2,Electric,Buttercream,Local,279.4,45.5 %,6.3,1,5.0,2023-12-10,Average
White Forest,298.2 g,222.1 g,149.4,2.0,148.4,192.9 °C,43.5,13.3,16.1,8.8,Gas,Buttercream,Mixed,250.9,46.6 %,7.8,4,3.1,2024-10-30,Good
Chocolate Truffle,325.1 g,,136.2,3.0,157.3,190.7 °C,43.5,13.9,5.7,14.3,Gas,Whipped Cream,Mixed,359.4,60.0 %,8.6,3,4.9,2023-01-15,Good
Chocolate Truffle,316.1 g,187.3 g,138.6,2.0,218.3,192.3 °C,34.9,17.6,10.2,10.6,Electric,Fondant,Mixed,202.6,50.1 %,7.5,11,4.8,2024-04-29,Good
White Forest,296.0 g,192.9 g,145.6,2.0,163.8,183.3 °C,45.1,11.0,15.5,12.6,Gas,Ganache,Local,331.3,51.2 %,8.4,6,4.6,,Good
Black Forest,245.3 g,216.9 g,111.9,2.0,161.6,194.6 °C,27.2,10.8,16.3,4.5,Gas,Buttercream,Mixed,227.0,52.3 %,5.2,5,3.3,2023-04-06,Average
Chocolate,401.2 g,,170.6,3.0,221.5,206.3 °C,56.3,11.0,11.5,15.7,Electric,Whipped Cream,Local,218.8,53.9 %,6.9,6,2.6,2023-03-18,Average
Chocolate,238.9 g,193.7 g,136.4,3.0,146.7,211.9 °C,34.8,12.3,,8.4,Electric,Ganache,Local,466.5,65.1 %,5.6,13,4.4,2023-03-27,Average
Chocolate Truffle,315.4 g,194.4 g,129.7,3.0,237.6,201.2 °C,35.7,10.1,17.7,11.8,Electric,Fondant,Imported,267.7,51.8 %,6.5,8,3.7,2025-10-05,Average
Strawberry,293.6 g,201.1 g,,1.0,241.9,282.6 °C,25.4,4.3,13.9,6.2,Gas,Buttercream,Imported,274.2,58.6 %,4.8,11,3.5,2024-11-20,Poor
Chocolate,244.2 g,230.8 g,126.5,2.0,150.4,203.6 °C,31.2,8.8,12.8,12.1,Electric,Ganache,Imported,434.3,56.5 %,5.5,2,4.6,2025-07-30,Average
Chocolate,273.8 g,221.5 g,142.3,2.0,212.0,176.0 °C,40.7,8.6,10.9,10.9,Gas,Whipped Cream,Mixed,274.2,46.2 %,7.3,11,3.7,2023-06-06,Good
Black Forest,275.3 g,211.3 g,135.2,1.0,127.7,205.2 °C,39.1,8.3,16.5,9.4,Gas,Fondant,Imported,313.6,54.7 %,7.6,10,3.6,2024-10-27,Good
Chocolate,332.4 g,177.4 g,153.5,2.0,181.6,219.0 °C,23.5,12.3,13.8,14.7,Convection,Ganache,Local,362.1,50.3 %,9.4,6,4.1,2024-09-23,Excellent
Chocolate,256.0 g,190.2 g,134.4,2.0,150.6,194.2 °C,37.5,15.4,9.8,12.9,Gas,Fondant,Local,310.4,51.9 %,8.2,6,4.9,2024-12-29,Good
,269.3 g,191.2 g,122.5,4.0,195.7,178.8 °C,21.6,9.8,16.2,17.1,Gas,Whipped Cream,Local,535.0,50.5 %,5.5,11,2.8,2025-08-08,Average
Black Forest,220.7 g,232.4 g,145.5,3.0,188.8,175.2 °C,44.8,6.7,11.5,7.5,Electric,Whipped Cream,Local,209.6,62.5 %,6.6,2,3.9,2025-06-04,Average
Black Forest,355.5 g,190.9 g,133.4,2.0,169.8,196.8 °C,44.9,9.1,17.0,15.0,Electric,Ganache,Mixed,505.0,55.8 %,9.2,9,3.3,2023-08-28,Excellent
Chocolate,246.7 g,227.1 g,114.1,2.0,148.6,184.1 °C,26.7,6.7,20.3,14.4,Convection,Fondant,Imported,219.8,54.3 %,7.2,11,3.4,2023-05-07,Good
Black Forest,289.6 g,185.1 g,,2.0,211.9,195.0 °C,36.7,9.8,19.8,3.8,Gas,Ganache,Local,403.5,46.7 %,5.9,4,3.2,2025-09-11,Average
Chocolate,274.5 g,186.4 g,129.2,2.0,177.3,192.6 °C,23.7,5.1,13.9,5.8,Electric,Buttercream,Imported,265.4,59.0 %,7.5,4,4.1,2025-03-31,Good
Vanilla,274.6 g,206.0 g,145.1,2.0,158.0,226.4 °C,31.4,8.7,13.8,8.9,Electric,Fondant,Local,305.5,56.5 %,8.0,11,4.4,2024-11-16,Good
White Forest,309.2 g,237.5 g,124.7,1.0,163.1,213.0 °C,37.0,12.3,15.2,14.8,Electric,Whipped Cream,Mixed,233.0,46.8 %,9.4,11,3.9,2024-03-10,Excellent
Black Forest,351.9 g,191.4 g,120.4,3.0,175.3,189.9 °C,35.8,10.0,14.5,13.0,Electric,Buttercream,Local,341.7,46.6 %,8.3,5,5.0,2025-08-02,Good
Pineapple,286.8 g,161.4 g,166.3,4.0,175.2,192.0 °C,37.5,11.4,22.1,14.8,Electric,Buttercream,Local,426.3,59.3 %,8.5,4,4.9,2025-02-13,Good
Black Forest,302.6 g,171.2 g,156.9,,188.6,214.9 °C,36.4,11.5,15.9,7.8,Electric,Ganache,Mixed,287.3,53.6 %,4.4,6,5.0,2025-03-31,Poor
Strawberry,289.7 g,,138.1,1.0,213.5,200.2 °C,37.9,7.0,13.4,7.9,Gas,Buttercream,Imported,264.1,57.6 %,4.9,10,4.4,2024-04-12,Poor
Chocolate,318.5 g,172.3 g,147.1,3.0,217.5,203.5 °C,30.0,9.8,7.9,12.8,Electric,Ganache,Local,314.7,48.2 %,6.8,4,3.9,2024-05-10,Average
Vanilla,263.2 g,180.4 g,156.1,3.0,171.3,220.0 °C,33.6,13.3,10.5,8.5,Electric,Buttercream,Mixed,316.1,56.9 %,8.4,4,5.0,2025-09-27,Good
Vanilla,321.2 g,195.7 g,138.0,5.0,192.7,187.2 °C,35.3,10.8,12.6,8.1,Electric,Ganache,Imported,347.5,48.7 %,8.0,3,4.1,2024-09-13,Good
Chocolate,322.9 g,162.4 g,120.4,2.0,172.1,215.3 °C,33.6,11.1,18.6,7.0,Electric,Whipped Cream,Local,265.4,58.3 %,8.7,11,2.1,2023-06-17,Good
Butterscotch,321.5 g,188.3 g,,4.0,224.9,192.3 °C,56.7,9.2,11.4,13.3,Electric,Ganache,Local,273.4,68.3 %,8.0,4,4.7,,Good
,257.5 g,176.2 g,161.2,1.0,174.2,171.1 °C,35.7,7.3,11.8,13.1,Electric,Buttercream,Local,500.0,51.2 %,8.3,7,3.0,2024-01-08,Good
Chocolate Truffle,272.3 g,172.0 g,150.7,4.0,182.2,182.2 °C,24.0,9.6,16.6,19.1,Electric,Whipped Cream,Local,340.9,53.5 %,8.6,10,4.5,2024-07-03,Good
Black Forest,286.4 g,181.4 g,139.3,1.0,177.5,185.2 °C,26.3,10.8,8.6,6.6,Electric,Fondant,Local,730.1,49.7 %,8.5,8,3.8,2023-02-27,Good
Pineapple,239.6 g,177.5 g,150.0,2.0,194.0,223.5 °C,37.0,9.9,16.1,11.7,Electric,Ganache,Local,280.2,65.7 %,7.2,1,4.1,2025-03-20,Good
Red Velvet,347.7 g,205.7 g,134.2,5.0,200.4,196.3 °C,34.0,9.5,14.9,13.2,Electric,Ganache,Mixed,358.8,46.9 %,6.6,7,3.4,2024-02-08,Average
Strawberry,277.5 g,225.4 g,162.4,4.0,232.9,193.6 °C,33.6,9.7,13.4,6.8,Electric,Ganache,Local,342.9,52.5 %,5.7,6,3.7,2024-07-16,Average
Red Velvet,288.0 g,188.6 g,171.5,5.0,224.8,227.0 °C,22.5,12.0,18.2,11.5,Gas,Whipped Cream,Imported,264.6,51.3 %,7.9,5,3.9,2023-07-18,Good
,259.9 g,184.6 g,119.4,3.0,179.7,187.1 °C,24.1,9.4,14.6,6.8,Gas,Ganache,Imported,313.2,58.5 %,8.4,2,3.8,2024-01-30,Good
White Forest,240.6 g,187.7 g,164.4,3.0,176.9,192.3 °C,26.0,7.2,14.9,15.8,Electric,Ganache,Mixed,388.5,55.9 %,7.9,13,4.1,2025-02-06,Good
Vanilla,259.1 g,177.0 g,205.6,3.0,171.4,,27.2,8.4,18.6,9.1,Electric,Ganache,Mixed,171.8,48.1 %,8.3,8,3.5,2025-08-24,Good
,285.7 g,174.6 g,149.1,3.0,215.8,197.5 °C,24.3,13.0,18.1,14.5,Electric,Ganache,Local,228.7,51.1 %,8.1,3,4.1,2024-04-21,Good
Black Forest,303.4 g,170.3 g,160.7,3.0,186.4,203.9 °C,40.6,10.6,17.6,7.2,Electric,Ganache,Local,368.7,44.4 %,8.7,3,3.5,2025-01-27,Good
Chocolate,283.6 g,174.1 g,127.6,1.0,294.2,207.6 °C,36.4,6.7,12.9,5.1,Electric,Buttercream,Local,205.3,61.1 %,6.9,3,4.5,2025-10-20,Average
Butterscotch,290.4 g,239.8 g,129.7,2.0,176.3,,41.8,11.1,5.0,20.2,Gas,Buttercream,Local,260.9,49.0 %,7.7,7,4.3,2025-06-22,Good
Butterscotch,267.0 g,183.1 g,134.5,2.0,239.7,174.6 °C,45.7,7.6,19.7,13.6,Convection,Whipped Cream,Imported,254.6,54.3 %,7.0,12,4.0,2024-04-27,Good
Chocolate Truffle,296.2 g,158.5 g,131.3,2.0,240.1,204.9 °C,36.9,10.2,22.1,9.8,Gas,Buttercream,Imported,326.0,47.5 %,8.4,9,4.7,2024-02-02,Good
Vanilla,341.6 g,184.8 g,119.2,3.0,238.8,174.8 °C,28.7,13.1,8.8,5.5,Convection,Fondant,Mixed,468.2,51.0 %,6.7,8,3.5,2023-09-20,Average
Chocolate,304.7 g,170.9 g,135.1,4.0,168.3,203.6 °C,41.4,7.8,,11.4,Electric,Ganache,Local,219.3,46.3 %,6.1,4,3.7,,Average
Chocolate Truffle,309.2 g,196.7 g,156.7,2.0,175.6,211.0 °C,24.3,6.8,16.8,20.6,Gas,Ganache,Imported,282.5,70.3 %,7.0,10,4.0,2025-02-17,Good
Red Velvet,288.4 g,194.5 g,119.4,3.0,173.3,218.9 °C,30.6,11.3,8.7,9.6,Electric,Fondant,Local,233.2,60.3 %,8.3,4,4.0,2023-04-13,Good
Butterscotch,236.7 g,196.6 g,141.7,2.0,237.3,196.2 °C,33.2,9.7,14.4,6.7,Electric,Whipped Cream,Local,321.8,56.6 %,5.3,4,3.8,2025-05-28,Average
Butterscotch,247.3 g,194.7 g,141.1,,164.9,239.6 °C,36.5,10.4,13.7,6.0,Electric,Ganache,Imported,272.2,53.7 %,6.6,8,4.5,2023-02-21,Average
Pineapple,294.5 g,188.4 g,132.9,3.0,161.4,179.7 °C,44.5,13.4,13.4,2.9,Gas,Ganache,Local,326.3,55.0 %,7.4,10,3.7,2024-10-26,Good
Vanilla,277.6 g,172.5 g,,3.0,202.8,226.1 °C,28.0,8.1,17.0,5.0,Electric,Fondant,Imported,322.3,53.8 %,7.3,7,3.8,2025-06-28,Good
Vanilla,294.0 g,194.0 g,146.4,2.0,143.4,,24.2,10.9,14.3,5.0,Electric,Buttercream,Imported,429.8,53.9 %,6.2,12,3.4,2025-09-20,Average
Pineapple,352.2 g,220.1 g,131.8,4.0,205.8,198.9 °C,47.3,10.6,,6.2,Gas,Buttercream,Local,218.5,47.6 %,6.4,7,3.5,2024-01-13,Average
Vanilla,305.6 g,246.5 g,162.8,3.0,147.5,200.8 °C,43.1,6.1,21.9,14.1,Gas,Buttercream,Local,446.7,57.9 %,7.3,8,4.8,2024-04-22,Good
Chocolate,330.1 g,,149.9,5.0,166.0,223.7 °C,59.0,12.0,16.9,7.9,Electric,Fondant,Local,346.6,45.6 %,8.7,3,3.5,2025-07-11,Good
Strawberry,281.2 g,192.9 g,179.0,3.0,222.2,183.1 °C,22.7,11.4,,9.6,Electric,Ganache,Local,282.9,54.7 %,8.7,7,4.8,2025-01-10,Good
Chocolate Truffle,253.5 g,206.5 g,137.0,4.0,162.0,243.0 °C,36.2,9.5,20.9,0.5,Gas,Fondant,Local,369.5,50.2 %,6.9,8,3.9,2023-08-26,Average
Black Forest,276.0 g,235.0 g,132.6,4.0,188.5,172.0 °C,23.3,12.9,13.4,5.3,Electric,Buttercream,Imported,228.0,60.8 %,7.6,2,4.4,2023-09-05,Good
Strawberry,253.5 g,186.5 g,134.5,2.0,224.7,197.0 °C,,4.4,16.3,12.7,Electric,Ganache,Imported,566.1,56.8 %,5.6,9,3.1,2025-03-09,Average
Chocolate,345.7 g,211.2 g,166.3,3.0,147.6,208.1 °C,20.1,8.5,19.9,5.6,Electric,Ganache,Imported,236.3,59.8 %,8.0,5,3.9,2023-07-22,Good
Strawberry,308.3 g,181.1 g,135.5,2.0,183.9,217.0 °C,27.4,12.0,16.3,6.6,Electric,Whipped Cream,Imported,179.1,47.4 %,7.2,10,3.7,2023-08-18,Good
Butterscotch,297.1 g,202.5 g,136.6,4.0,201.0,179.2 °C,37.4,8.1,20.1,4.3,Electric,Buttercream,Mixed,293.8,53.1 %,7.4,6,3.5,2023-06-13,Good
Chocolate,329.0 g,218.7 g,193.7,3.0,141.5,173.6 °C,36.1,7.1,21.3,17.0,Gas,Whipped Cream,Local,291.9,55.0 %,9.8,5,3.5,2023-06-20,Excellent
Red Velvet,226.3 g,174.6 g,118.8,3.0,149.9,222.9 °C,34.7,11.1,15.1,20.7,Electric,Whipped Cream,Mixed,315.7,54.9 %,7.7,3,3.5,2025-01-23,Good
Chocolate Truffle,299.9 g,185.8 g,145.4,2.0,244.5,202.3 °C,38.6,7.2,22.3,17.3,Gas,Ganache,Imported,446.8,55.3 %,7.7,6,5.0,2023-05-10,Good
White Forest,241.0 g,218.3 g,137.1,3.0,147.4,174.3 °C,43.4,11.8,10.0,8.0,Gas,Buttercream,Local,306.0,48.2 %,6.3,2,4.2,2023-08-27,Average
Black Forest,277.7 g,209.3 g,133.8,1.0,167.7,190.7 °C,38.4,12.7,,13.9,Electric,Fondant,Local,342.3,48.8 %,7.6,10,4.1,2023-10-02,Good
Black Forest,267.8 g,220.6 g,123.5,4.0,130.1,187.6 °C,31.8,9.4,14.4,8.3,Electric,Fondant,Local,447.8,44.4 %,5.2,2,3.1,2024-05-26,Average
Vanilla,302.9 g,215.4 g,127.4,2.0,156.0,219.1 °C,28.3,9.5,17.8,4.6,Gas,Ganache,Imported,396.4,48.3 %,7.7,3,4.3,2024-10-08,Good
Vanilla,286.0 g,189.0 g,,2.0,206.1,192.8 °C,37.4,8.2,16.6,9.4,Gas,Buttercream,Local,713.5,52.1 %,8.3,3,4.7,2025-05-13,Good
Pineapple,334.4 g,262.1 g,148.4,1.0,213.6,195.4 °C,38.6,9.9,,5.8,Convection,Fondant,Imported,374.3,54.6 %,7.6,5,4.0,2023-04-09,Good
Pineapple,259.1 g,198.3 g,157.1,2.0,206.8,194.4 °C,39.8,8.8,15.3,6.3,Electric,Ganache,Local,261.5,47.1 %,8.6,5,4.2,2023-09-23,Good
Chocolate Truffle,304.9 g,157.7 g,114.5,2.0,177.2,231.1 °C,32.6,13.8,21.3,10.1,Gas,Ganache,Imported,226.7,53.5 %,5.8,4,4.0,2025-04-25,Average
Chocolate Truffle,283.6 g,190.1 g,120.4,2.0,149.0,214.4 °C,21.3,14.0,16.3,14.2,Gas,Fondant,Imported,259.4,55.7 %,7.2,2,3.1,,Good
Red Velvet,233.9 g,186.8 g,149.6,2.0,192.3,210.2 °C,40.0,9.6,13.6,13.3,Electric,Whipped Cream,Imported,241.3,58.1 %,8.7,8,3.8,2023-08-10,Good
Red Velvet,250.5 g,213.9 g,151.6,4.0,165.1,201.6 °C,30.9,12.6,15.8,11.7,Electric,Buttercream,Mixed,260.6,43.8 %,6.7,4,4.3,2024-07-26,Average
Pineapple,272.9 g,187.1 g,117.6,2.0,137.7,201.4 °C,36.2,11.4,,7.2,Convection,Whipped Cream,Imported,200.8,49.6 %,8.4,5,2.6,2024-03-07,Good
Black Forest,323.0 g,222.4 g,157.7,4.0,179.2,185.4 °C,35.6,7.3,10.2,10.5,Electric,Fondant,Mixed,184.1,63.6 %,8.9,3,4.5,2023-05-31,Good
Black Forest,294.9 g,207.9 g,138.0,2.0,227.5,213.7 °C,24.2,6.6,14.0,4.1,Electric,Whipped Cream,Imported,212.1,47.0 %,6.3,10,4.1,2024-07-21,Average
Pineapple,244.3 g,178.5 g,154.4,4.0,220.2,192.6 °C,34.8,8.8,20.0,6.9,Electric,Whipped Cream,Imported,318.4,51.3 %,7.2,9,3.5,2025-09-22,Good
Chocolate Truffle,273.2 g,192.7 g,124.8,3.0,223.2,180.9 °C,37.7,7.4,15.6,9.1,Electric,Ganache,Mixed,319.7,58.3 %,6.0,8,5.0,2024-11-02,Average
Vanilla,372.5 g,181.8 g,118.4,4.0,188.4,196.0 °C,41.5,10.9,17.6,6.4,Gas,Whipped Cream,Mixed,378.6,56.6 %,6.9,3,3.8,2024-08-27,Average
Vanilla,281.8 g,199.3 g,132.8,3.0,152.5,198.5 °C,20.0,11.5,17.6,11.6,Electric,Buttercream,Local,318.4,57.6 %,7.0,12,4.5,2024-04-28,Good
Chocolate,267.3 g,181.7 g,133.5,4.0,198.7,223.6 °C,22.7,7.8,8.9,12.6,Gas,Ganache,Local,359.2,50.3 %,7.2,9,4.4,2024-04-14,Good
